sentence1,sentence2,similarity_score
A white cat standing on a carpet.,A pretty white striped cat with his head hanging off the table.,1.600000023841858
"The state's population was 6,080,485 in 2000, according to the U.S. census.","Between 1960 and 2000, however, the state's population grew by 30.4 percent to 6,080,485.",2.5999999046325684
A father napping in a chair with a baby on his lap.,Man with pink shirt sleeping on chair with infant.,3.400000095367432
"Agnew said Pinellas began baiting when rabies cases ""went from zero to 30"" in 1995.","Still, Pinellas rabies cases fell sharply to 17 in 1996 and 3 in 1997, Agnew said.",1.75
A woman doesn't have her arms up because she's paralyzed from the neck down,A woman is sitting on the steps because she tripped and hurt her ankle.,0.800000011920929
He also said the academy will get its own internal report next week detailing the seriousness of the remaining problem.,"The academy will get its own internal report next week and it will be made public, Rosa said.",3.3329999446868896
Saudi man with pressure cooker arrested at Detroit airport,Saudi Man Traveling With Pressure Cooker Arrested,4.0
A man is playing a guitar.,A woman is playing an electric guitar.,2.200000047683716
"In addition, the Justice Department said that the FBI has conducted ''fewer than 10'' investigations involving visits to mosques.","In addition, ""fewer than 10"" FBI offices have conducted investigations involving visits to Islamic mosques, the Justice Department said.",3.75
Golf: Westwood takes lead in Dubai Desert Classic,Westwood in front a Dubai Desert Classic,4.0
More rain hampers Indian flood rescue,US tourist gang-raped in northern India: Police,0.4000000059604645
US offers US$10 mil. for Pakistan militant,US offers $10 million for Pakistani militant chief,3.799999952316284
A girl is flying a kite.,A girl running is flying a kite.,4.0
US Attorney General Holder resigns,US Attorney general Eric Holder to resign,4.0
"""There is no doubt about the chemical programme, biological programme, indeed nuclear programme, indeed all that was documented by the UN,"" he said.","He added: ""There is no doubt about the chemical programme, the biological programme and indeed the nuclear weapons programme.",3.799999952316284
You PROBABLY don't have any chance at the moment.,"Saying ""thanks, I don't have any questions at the moment.""",0.0
Israel green-lights 1500 settler homes,"Israel unveils 1,800 more settler homes",3.200000047683716
"According to the girlfriend and Zimmerman, he did.",According to Zimmerman he did.,2.400000095367432
Albertsons and Kroger's Ralphs chain locked out their workers in response.,Kroger's Ralphs chain and Albertsons immediately locked out their grocery workers in a show of solidarity.,4.0
The girl is tiding up her bed.,A woman is making a bed.,2.5
A man is frying a tortilla.,A person is performing a card trick.,0.0
"""Oh, you're such a good person!","You're such a bad person!""",1.7999999523162842
The woman is thinly slicing a cucumber.,The woman is slicing a tomato.,1.2000000476837158
According to this website the peak visible magnitude will be about 10.5 around February 2nd.,"The AAVSO data seems to indicate that it might have already peaked, at around 10.5 (visual).",3.5999999046325684
How would Martin not know that that was not the case?,How would Martin or anyone else know his intentions based on his actions?,2.400000095367432
"A long-haired man with a hat standing between two large, half-empty Coke bottles.",A man with a cap and jacket walking between two large bottles.,3.5999999046325684
A blonde woman looks for medical supplies for work in a suitcase.,The blond woman is searching for medical supplies in a suitcase.,5.0
Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada suggest living standards have improved but still lag for those off reserves.,The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada says living standards have improved but still lag for the Inuit and those who leave their often impoverished reserves.,3.908999919891357
Two dogs running through a field.,Two dogs play in a field.,4.199999809265137
"These are interesting studies, but the bottom line is: yes, environment affects cognitive abilities.","I'm not sure what you mean by cognitive capacity, but I absolutely believe that language shapes the way we think.",1.600000023841858
Queen pays tribute to Nelson Mandela,US presidents pay tribute to Mandela,1.600000023841858
Long lines formed outside gas stations and people rushed to get money from cash machines Sunday as Israelis prepared to weather a strike that threatened to paralyze the country.,Long lines formed Sunday outside gas stations and people rushed to get money from cash machines as Israelis braced for the strike's effects.,4.5
A man is hanging by a line off a cliff above water.,Man sitting by himself on a pier with a bottle of water.,0.6000000238418579
He was the Ace of Diamonds in a pack of cards depicting Iraqi fugitives that has been issued to U.S. troops.,He was the ace of diamonds in a U.S. deck of cards showing pictures of most-wanted Iraqi leaders.,4.0
American investigators waiting to question arrested Boston bomber,Police converge on street in search for Boston bomb suspect,1.7999999523162842
Polling stations open at Ukrainian presidential election,Nominations open for e.TV Ghana Most Influential Awards,0.2000000029802322
Police surround protesters in Belfast ahead of G8,Peaceful anti-G8 protest held in Belfast,3.0
They know that the video doesn't show a gas chamber.,The bottom line is that the video clip doesn't show a gas chamber.,4.599999904632568
"Two astronomers surveying the region around Jupiter have detected 20 new moons, bringing the giant planet's total to 60.","Astronomers have clocked eight more moons orbiting Jupiter, bringing its known total to 60.",3.0
"38 killed in rains, flash floods in Pakistan",Three killed in Brazil stadium collapse,0.4000000059604645
Two men are fighting.,The man is exercising.,0.75
fan stated the commission is primarily concerned with the term of future investment in taiwan.,fan stated the commission will ensure the commitments are upheld once the investments are under way.,1.7999999523162842
"Obama Urges Restraint from Israelis, Palestinians","Obama meets Israeli, Palestinian negotiators",1.7999999523162842
"tin foil hat for the dog face, what size do u wear?","tin foil hat for the sarg, what size do u wear?",3.0
"""The recent turnaround in the stock market and an easing in unemployment claims should keep consumer expectations at current levels and may signal more favorable economic times ahead.""","The recent turnaround in the stock market and an easing in unemployment claims ""may signal more favorable economic times ahead,"" she said.",3.933000087738037
Time of the Season by the Zombies We are all vessels filled with many wonders.,Joy to the World We are all vessels filled with many wonders.,3.200000047683716
A man is eating wood.,A man is adding oil to car.,0.5
Weak earnings drag US stocks lower in early trade,Weak earnings drag stocks lower on Wall Street,3.799999952316284
A young girl riding a white and grey horse.,A young blonde girl in riding gear sits on top of a gray and white horse.,3.799999952316284
"Joining Boston on Monday were the Massachusetts communities of Watertown, Saugus and Framingham.","Along with Boston, Watertown, Saugus and Framingham also are going smoke-free Monday.",3.0
"In the second quarter, Anadarko now expects volume of 46 million BOE, down from 48 million BOE.",Production for the second quarter was cut to 46 million barrels from 48 million barrels.,3.25
a staff of 30 specialists will conduct research and training on cyber warfare and will be prepared to assist nato members with response to any future cyber attacks.,a staff of 30 specialists will conduct research and training on cyber warfare.,3.400000095367432
Salvador Dali painting snatched from New York gallery,Salvador Dali painting snatched in NYC,4.599999904632568
Santorum Romping To Minnesota Victory,Santorum wins Kansas caucuses,1.0
Two people wearing hats sit and look at the camera.,A man wearing a blue shirt makes a grouchy face.,0.0
There are 103 Democrats in the Assembly and 47 Republicans.,Democrats dominate the Assembly while Republicans control the Senate.,2.0
Nutrax The plural of anecdote is not data Did gentlemen need chaperones?,Nutrax The plural of anecdote is not data,3.5999999046325684
A man is playing a guitar.,A woman is playing the guitar.,2.75
"Among three major candidates, Schwarzenegger is wining the battle for independents and crossover voters.",Schwarzenegger picks up more independents and crossover voters than Bustamante.,3.400000095367432
Egyptians vote in landmark presidential election,Egyptians go to polls in historic election,4.0
"Sources say agents confiscated ""several"" documents he was carrying.",Agents confiscated several classified documents in his possession and interrogated him.,3.5
arms smugglers and drug cartels must be eliminated from southeast asia.,arms smugglers and drug cartels abet terrorists.,2.799999952316284
Syria Regime Agrees to Attend Peace Conference,Russia: Syria Agrees to Participate in Conference,4.800000190734863
France Says Won't 'Shirk Responsibilities' in Syria,France urges EU to be united on Syria,2.5999999046325684
"Suicide bomb kills 4, injures 13 in Pakistan",Twitter blocks content in Pakistan,0.0
Three men are doing same dance in the street.,Three shirtless men are dancing in the street.,3.799999952316284
A man plays a keyboard.,A person is playing the keyboard.,4.0
Vivendi shares closed 3.8 percent up in Paris at 15.78 euros.,Vivendi shares were 0.3 percent up at 15.62 euros in Paris at 0841 GMT.,2.5999999046325684
Chinese shares close lower on Wednesday,China stocks close lower on Friday,2.5
Palestinians: 2 Gaza militants killed in Israeli airstrike on coastal strip,Officials: Gaza man killed in Israeli airstrike (AP),3.0
Snowden asks to stay in Russia,Snowden releases first Russia video,1.399999976158142
Red Sox Beat Tigers 5-2 to Advance to World Series,Red Sox beat Tigers to reach World Series,4.0
A child is playing a computer game.,A boy is playing a game on a laptop.,3.0910000801086426
I have the same thing.,I have the same situation and have traveled extensively.,2.0
Nato troops kill two Afghan children,NATO strike kills 11 Afghan children,3.0
A dog and cat laying down together.,Two grey dogs are carrying a stick in the water.,0.6000000238418579
Uganda's president signs anti-gay bill,Uganda's president signs harsh anti-gay law,4.0
The man spread butter on the loaf of bread.,A man is spreading butter onto bread.,4.0
"The agency will ""consider as timely any tax returns or payments due"" Aug. 15 if they are submitted by Aug. 22.",The agency said it would consider as timely any tax returns or payments due from Friday through Aug. 22 if they are completed by Aug. 22.,4.25
France's Strauss-Kahn charged with involvement in prostitution vice ring,Strauss-Kahn charged in prostitution vice ring,4.0
A family is playing on the beach with their dog.,A naked little girl being thrown into the air.,0.0
A seated young woman in a hat is reading at a coffee shop.,a woman enjoying her reading at a coffee shop,4.400000095367432
MSN Messenger 6 will be available for download starting at 6 p.m. GMT on Wednesday from http://messenger.msn.com/download/v6preview.asp.,"The MSN Messenger 6 software will be available from 11 a.m. PST on Wednesday, according to Microsoft.",3.25
A dog is barking at a toy.,The little dog barked at the electronic toy.,3.75
"""Jeremy's a good guy,"" Barber said, adding: ""Jeremy is living the dream life of the New York athlete.","He also said Shockey is ""living the dream life of a New York athlete.",2.75
A man is cutting a fish.,A man guts a fish.,3.0
Obama backs Philippines over South China Sea,Obama says clear rules needed to calm South China Sea,2.400000095367432
Moscow protesters demand Vladimir Putin's resignation,Moscow protest against Vladimir Putin smaller and quieter,1.7999999523162842
Royal Hoax DJ Takes Action Against Station,Taliban bombs US base in Afghanistan,0.0
Pakistani Taliban chief killed in US drone strike,Funeral for Pakistan Taliban chief 'set to take place',1.600000023841858
Man arrested after police officer shot in Leeds,Navy panel urges ouster of officer who faked death,0.4000000059604645
Two zebras play in an open field.,Two zebras are playing in a field.,4.199999809265137
A baby elephant is eating a small tree.,A little girl peddling a scooter.,0.0
There is simply no winning for Obama among conservatives.,This is rich coming from a conservative.,1.399999976158142
A woman and child push strollers down the sidewalk.,A women and a young girl walking pushchairs along the sidewalk.,3.400000095367432
The man is playing the guitar.,The girl is playing the guitar.,1.600000023841858
Two kids are swimming.,Six kids are going swimming.,2.799999952316284
Three women are dancing.,The man is dancing.,1.600000023841858
Algerian president in France for medical tests,Algerian president in France for medical tests after minor stroke,3.5999999046325684
russian president putin signs decree suspending russia's application of european arms control treaty.,president vladimir putin signed a decree suspending russia's participation in the conventional forces in europe treaty.,4.400000095367432
A boy is playing a key-board.,A boy is playing the piano.,3.200000047683716
A clear plastic chair in front of a bookcase.,a clear plastic chair in front of book shelves.,4.199999809265137
Doctors have speculated that the body's own estrogen protects against cell damage and improves blood flow.,Their belief was based on speculation that estrogen prevents cell damage and improves blood flow.,4.25
A man is playing a guitar.,A man is eating a banana.,0.6000000238418579
A brown dog is splashing water everywhere by shaking the water off of itself.,A white dog is standing by a river shaking himself dry.,2.400000095367432
A woman is laying down on the floor and holding a baby up above her.,A man is laying on the floor holding a baby up above him.,2.200000047683716
The man is putting chicken into the container.,A man is putting foods in a box.,2.5
"The volatile mix could drag the session beyond the four days allotted by Bush, said Senate President Jim King.","The Senate might support capping noneconomic damages beyond the $250,000 Gov. Jeb Bush proposes, said Senate President Jim King.",2.75
Rescuers scour debris after India buildings collapse,Select images from Bangladesh building collapse,2.200000047683716
Eurozone backs Greek bailout,Eurozone agrees Greece bail-out,4.800000190734863
The man is in a deserted field.,The man is outside in the field.,4.0
Sheryl Crow says has benign brain tumor,Sheryl Crow Has a Benign Brain Tumor,4.599999904632568
Pines said he would convene the relevant party bodies within 10 days to discuss whether new elections would be held or whether a temporary leader would be appointed.,Mitzna and party secretary Ophir Pines agreed to convene party organizations within 10 days to discuss whether new primaries would be held or a temporary leader appointed.,3.5999999046325684
A man is taking some math classes.,A man is rinsing a steak.,0.0
"Taiwan has attempted to gain observer status to the United Nations-affiliated WHO for seven years, but again was rebuffed March 19 at its annual conference in Geneva.","It has sought observer status for seven years, but was again rebuffed May 19 at the annual WHO conference in Geneva.",3.25
Heavy fighting rocks eastern Syria ahead of poll,Heavy fighting rocks eastern Syria - residents,3.799999952316284
A person is rinsing a steak off with water.,A man is rinsing a large steak.,3.928999900817871
Suicide bomber kills 14 in Afghanistan,Suicide blast kills 1 in Afghan capital,3.0
ElBaradei to Become Egyptian PM,"Liberal ElBaradei named Egypt PM, Islamists cry foul",3.200000047683716
Afghan police kill 5 Taliban fighters,"5 Taliban, 5 Afghan police killed in ambushes",2.200000047683716
My guess is that means your cat only marginally likes the food you're feeding him.,Some researchers believe domestic cats never really mentally grow up completely and they always look at you like their mom.,0.6000000238418579
"Egyptologists cast doubt Tuesday on an expedition's claim that it may have found the mummy of Queen Nefertiti, one of the best-known ancient Egyptians.","Egyptologists think they may have identified the long-sought mummy of Queen Nefertiti, one of the ancient world's legendary beauties.",2.5999999046325684
A man is cycling.,A boy is riding a bicycle.,2.5
"With the power back on, state workers headed back to their jobs Friday morning.","Pataki said if power was restored, state workers would be back on the job Friday morning.",2.5999999046325684
"You just have to base your answer on what you do know, which is what you want.","They can, but the way to do it depends on what you have available.",1.0
A woman is firing a rifle.,A man is performing stunts.,0.25
Has Annie ever used her sexuality like that?,One word: Zombies Has Annie ever used her sexuality like that?,3.799999952316284
Chinese satellite spots large object in search area,Malaysia: Chinese satellite found object in ocean,3.0
Two Australians killed in Kenya after bus crashed into river,Permalink to Two killed in Germany train accident,0.0
A black and white bird on a body of water with grass in the background.,A bus is on a road with a ferris wheel in the background.,0.0
A man is playing guitar.,A man is draining pasta.,0.4000000059604645
non-proliferation expert at the international institute for strategic studies mark fitzpatrick stated that the iaea report -- had an unusually strong tenor.,senior fellow at the international institute for strategic studies mark fitzpatrick stated that-- the international atomic energy agency plan is superficial.,4.0
A boy is singing and playing the piano.,A boy is playing the piano.,3.0
a brown dog running through the dirty muddy grass,The large brown dog is running outside in the dirt.,3.5999999046325684
A soccer player is kicking the ball.,The soccer player gave the ball a high kick.,3.799999952316284
A group of people are firing up a hot air balloon.,A large group of people riding brown and white horses.,0.0
Two dogs are running through the grass near a house and trees.,Two dogs are running through a green yard,4.199999809265137
Powerful 7.6 quake strikes off Solomons,Powerful 6.9 quake strikes off California coast,2.200000047683716
"Car bomb at Swedish consulate in Libya's Benghazi, no casualties","Car Bomb Hits Swedish Consulate in Benghazi, None Hurt",5.0
The tan dog runs through the leaves.,The white dog runs through the ocean.,1.7999999523162842
A girl is riding a horse.,A girl is riding a bicycle.,1.9170000553131104
if japan rises to the occasion japan will never be beaten even in terms of military power.,ozawa said that if japan rises to the occasion then japan will never be beaten even in terms of military power.,3.5999999046325684
A few points to add here: Coyotes are not know to be aggressive towards humans.,In general they are not considered dangerous because they rarely attack humans.,3.200000047683716
"The technology-laced Nasdaq Composite Index .IXIC was down 25.36 points, or 1.53 percent, at 1,628.26.","The broader Standard & Poor's 500 Index .SPX gave up 11.91 points, or 1.19 percent, at 986.60.",0.75
A woman is picking tomatoes.,A woman is pouring batter into a bowl.,1.0
A boy skateboards down the railing of some graffiti stairs,A skateboarder is jumping over an obstacle in front of a white house.,2.799999952316284
"Analysts expected earnings of 27 cents a share on revenue of $17.7 billion, Thomson First Call says.","Hewlett-Packard is putting in for a second-quarter profit of $659 million, or 29 cents a share, on revenue of $18 billion.",1.2000000476837158
A man is tying his shoe.,A dog is riding on a bicyclists shoulders.,0.0
"""Both of these kids are in wonderful physical condition right now,"" he said during a press briefing at the hospital.","""Both of these kids are in wonderful physical condition right now,"" said Goodrich, also director of pediatric neurosurgery at the Children's Hospital at Montefiore.",3.400000095367432
A woman is slicing a carrot.,A man is slicing a tomato.,1.2000000476837158
Birth Control Linked With Higher Glaucoma Risk,Contraceptive pill 'doubles glaucoma risk',3.400000095367432
"The 2000 Democratic platform supported ""the full inclusion of gay and lesbian families in the life of the nation.""","The Democrat's 2000 platform didn't explicitly support gay marriages but backed ""the full inclusion of gay and lesbian families into the life of the nation.""",3.200000047683716
Ukraine leader pledges crisis talks,Ukraine Leader Pledges Crisis Talks,5.0
U.S. drone strike kills 10 in northwest Pakistan,US drone in Pakistan kills 10 suspected militants,3.799999952316284
You do not need to worry.,You don't have to worry.,5.0
Time of the Season by the Zombies We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.,2.799999952316284
A child is jumping into a swimming pool.,A dog jumping into a swimming pool.,1.2000000476837158
Four dead in Indonesia train accident,Five dead as Indonesia train collides with fuel truck,3.400000095367432
A bird perched on a flowerpot.,Bird perched on a flowerpot beside a stucco wall.,4.199999809265137
That's what I believe.,"Yes, I believe it's a good idea.",2.0
The boy in the green jersey plays goalie on the soccer team.,The team in blue is playing a game against the team in white,1.0
"Dean told reporters traveling on his 10-city ""Sleepless Summer"" tour that he considered campaigning in Texas a challenge.","Today, Dean ends his four-day, 10-city ""Sleepless Summer"" tour in Chicago and New York.",2.5999999046325684
A man plays a guitar.,A man is playing a guitar.,5.0
Mr. Grassley and Mr. Baucus rejected any disparity in drug benefits.,Grassley and Baucus said they had rejected that approach in their plan.,3.0
Libya abruptly closes its borders with four countries,"Libya closes borders, declares martial law in south",3.400000095367432
ISRAELI soldiers knocked down empty mobile homes and water towers in 10 tiny West Bank settlement outposts overnight as part of a US-backed Mideast peace plan.,Israeli soldiers began tearing down settlement outposts in the West Bank yesterday - an Israeli obligation under a new Mideast peace plan.,3.799999952316284
You got it right.,You've got it right.,5.0
Black train on train tracks.,A train on the train tracks.,4.099999904632568
A person checks some rice pudding.,A horse is running.,0.0
Genetic predisposition to cancer resistance is superior genetics.,Genetic predisposition to Alzheimer is inferior genetics.,1.399999976158142
A little boy is drinking from a juice packet.,A boy is drinking from a juice packet.,4.800000190734863
this is particularly true in the poorest countries.,this was particularly after ethiopia withdraws its forces.,0.4000000059604645
"Stars form in star-formation regions, which itself develop from molecular clouds.",It may be possible for a solar system like ours to exist outside of a galaxy.,0.6000000238418579
The BlueCore3-Multimedia includes a 16-bit stereo audio CODEC with dual ADC and DAC for stereo audio.,BlueCore3-Multimedia contains an open platform DSP co-processor and also includes a 16-bit stereo audio codec with dual ADC and DAC for stereo audio.,3.5999999046325684
Two girls are playing Doctor inside their house.,The two girls are walking with their father.,0.800000011920929
Joy to the World We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.,3.0
the mexican government has adopted a series of measures against drug trafficking and organized crime within mexico since 2006.,since 2006 mexico has adopted a series of measures against drug trafficking and organized crimes.,5.0
A young boy jumps into a pool with outstretched arms.,A dog jumps into a backyard pool.,1.2000000476837158
h and i both read the books and thought the movie moved so quickly.,"I haven't read the books, but I saw the movie today.",3.0
A woman is peeling a potato.,A woman is slicing a tomato.,1.3329999446868896
A cook seasons some dough.,A man is seasoning some dough in a pan.,3.75
"Syrian forces bombard Homs, Russia warns of civil war","Syrian forces bombard Homs, Lavrov arrives for talks",2.5999999046325684
Israeli forces detain Palestinian MP in Hebron,Israeli forces detain 2 Palestinians in overnight arrest raids,3.0
Apple shares hit hard on iPhone disappointment,Apple stock plunges 11% after earnings disappointment,3.200000047683716
"The CWA, which represents more than 2,300 Comcast employees, called that excessive when a typical union employee makes about $27,000 a year.","The Communications Workers Union, which represents more than 2,300 Comcast employees, called the executive pay package excessive when a typical union employee makes about $27,000 annually.",3.400000095367432
"""Certainly what we know suggests that we should take what they're saying very seriously,"" he added.","""We don't know everything [but] what we know suggests that we should take what they're saying seriously,"" he said.",4.25
The plane was estimated to be within 100 pounds of its maximum takeoff weight.,"US Airways Flight 5481, which crashed Jan. 8, was judged to be within 100 pounds of its maximum takeoff weight.",3.25
A dark brown horse standing in a field.,A brown horse stands in a lush green field.,4.199999809265137
The man played haki sak in the office.,The man is seasoning the vegetables.,0.4000000059604645
"The Standard Edition is $15,000 per processor or $300 per named user.",The Standard Edition One is a single processor version of the Oracle Standard Edition Database.,2.5
"The Pentagon had hoped to retain control of the postwar effort, so the decision is a victory for Secretary of State Colin L. Powell.","The Pentagon had hoped to retain control of the postwar effort, so the decision was seen by some insiders as a victory for Powell and the State Department.",3.6670000553131104
A woman is about to paint.,A boy is about to take a picture.,1.0
A woman is slicing a garlic.,A woman is slicing a big pepper.,2.200000047683716
The man played his guitar.,A guy is singing while playing his guitar.,3.0
the riyadh-based naif arab academy for security sciences said in a statement that it was running a two-week workshop for 50 anti-terrorism experts.,in a statement naif arab academy for security sciences announced-- it will sponsor a 2-week workshop for 50 anti-terrorism experts.,4.800000190734863
Friends walk into a building,a man walks along walkway to the store,0.4000000059604645
Iran Nuclear Talks Enter Third Day,Iran nuclear talks enter crucial third day,5.0
"But butterflies exposed to an earlier light cycle, from 1am to 1pm, orientated themselves towards the south-east.","But butterflies housed under an earlier light cycle, 1 a.m. to 1 p.m., flew toward the southeast.",4.599999904632568
Obama orders Syria 'gas attack' inquiry,UN urges Syria gas attack inspection,2.0
Weiner stays in NYC mayor's race amid new sexting scandal,Weiner shrugs off latest online sex scandal,3.0
What is your lid made of?,What is your paper for?,0.0
the number 254 was tabulated with an afp count compiled from press and witness reports.,the number of executions in iran in 2007 was calculated by an afp count compiled from press reports.,2.200000047683716
"""We believe that it is not necessary to have a divisive confirmation fight over a Supreme Court appointment,"" Daschle wrote.","""We believe that it is not necessary to have a divisive confirmation fight,"" Daschle of South Dakota wrote the Republican president.",4.0
Obama renews offer to cut social safety net in big budget deal: aide,Japan urges U.S. to quickly handle budget deadlock,0.800000011920929
Close up of a white sheep with a black head.,A close-up of a sheep with a black head.,4.0
a dog is running across the sand with a stick in it's mouth.,A dog is running through a creek with a stick in its mouth.,3.5999999046325684
Asteroids are what are called minor planets - small inner solar system rocky bodies.,The objects you are refering to are actually two different objects: asteroids and comets.,2.0
Tunisian opposition politician shot dead,Tunisia opposition leader slain; protests erupt,3.0
Two dogs share a toy in a field of vegetation.,Two snowboarders are in the air over the snow.,0.1700000017881393
UN observers find traces of Syrian massacre,UN team investigates Syrian massacre,4.0
A boy played a keyboard.,A person is playing a piano keyboard.,3.200000047683716
Stars pay tribute to Cory Monteith,Stars pay tribute to James Garner,2.200000047683716
An overweight man is skipping rope.,A young man is dancing.,0.800000011920929
Romney announces Paul Ryan as running mate,Romney chooses Ryan as GOP running mate,4.400000095367432
A man is hitting a boy with flower vase.,A man is cutting a mat.,0.3000000119209289
A dog digging in the sand.,A brown dog digs in the sand.,4.199999809265137
"For the trillionth time, I've never said rehabilitation doesn't work.","The point you quote should say ""I never said rehabilitation could never work.""",3.400000095367432
A woman is cutting a plastic sheet.,A woman is playing a guitar on streets.,0.5
He left the army for Syria where he received religious training.,"He moved to Syria, where he underwent further religious training in traditional Islamic beliefs.",3.0
Colorado shooting suspect was in therapy,Lawyers: Colo. shooting suspect is mentally ill,4.199999809265137
Iron Dome intercepts 17 rockets,Iron Dome intercepts two rockets fired at Beersheba,2.5999999046325684
an institute for public policy research report said there are 27 weak states that pose a threat to britain's national security as the states could provide bases for terrorists.,the report said there are 27 weak states that pose a threat to britain's national security as the states could provide bases for terrorists.,4.199999809265137
but in the news broadcasts i have seen they did call him white.,"but it seems it would have less ""impact"" if they didn't call him white.",2.200000047683716
Live Blog: Ukraine In Crisis,Live Blog: Iraq In Turmoil,0.0
The problem is simpler than that.,The problem is simple.,3.799999952316284
Syrian opposition offers Assad truce in Homs for duration of Ramadan,Syrian opposition offers Assad's forces truce for duration of Ramadan,4.599999904632568
"It is a national concern that will touch virtually every American,"" Abraham said.","The impact of natural-gas shortages ""will touch virtually every American,"" Energy Secretary Spencer Abraham warned yesterday.",3.25
A man is kite surfing away from the camera.,A man is sky surfing on the water.,2.799999952316284
"General Myers told reporters that ""at first blush, it doesn't look like any rules were broken"".","""At first blush, it doesn't look like any rules were broken,"" said Gen. Richard Myers, chairman of the Joint Chiefs of Staff.",3.5999999046325684
The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields'' -- hijacks this natural process with two important changes.,"The team has named the sensor Canary, for cellular analysis and notification of antigen risks and yields.",3.5999999046325684
A man spins on a surf board.,A man is putting barbecue sauce on chicken.,0.0
It makes absolutely NO difference.,"No, it makes no difference.",5.0
I think it is great that you had a test conducted.,I think that's a great plan.,2.0
Egypt's main opposition rejects president's call for dialogue,Egypt opposition mulls response to Morsi dialogue call,3.799999952316284
South Africa prays for Nelson Mandela,South Africa unites in prayer and song for Nelson Mandela,4.199999809265137
Exit polls suggest Putin ally wins Moscow vote,"Exit polls shows Putin ally wins Moscow vote, Navalny cries foul",3.400000095367432
Man held after teen shot in Belfast,"Man, 40, arrested after shooting",3.200000047683716
A woman in a black bikini top and jeans.,A woman in a black hat is standing by the subway.,1.0
A man is dicing an onion.,A woman is cutting an onion.,2.5
A cat swings on a ceiling fan.,A cat is spun around by a ceiling fan.,4.199999809265137
"In September, Hewlett-Packard signed a development and marketing deal with the company.",Four months later it signed a joint marketing agreement with Hewlett-Packard Co.,2.75
Tan cow with ear tags on a grassy field.,Person in grassy field tending to sheep.,1.2000000476837158
You can buy it on amazon for $5.,You can buy it on ebay for $25 and up.,2.0
Are you driving one?,Are you driving a fucking Volt?,2.5999999046325684
The man is playing the guitar.,The man is playing with a skull.,1.0
A  man is dancing.,A man is riding a horse.,0.800000011920929
"India gang-rape victim ""struggling against the odds""",Indian rape victim dies in Singapore hospital,1.7999999523162842
Bush gets zero credit for the budget under him.,"And, Obama gets zero credit for the budget under him.",1.7999999523162842
"SEC Chairman William Donaldson said there is a ""building confidence out there that the cop is on the beat.""","""I think there's a building confidence that the cop is on the beat.""",3.400000095367432
The US Senate judiciary committee overcame a significant hurdle yesterday in the battle to create a trust fund to pay victims of asbestos exposure.,The Senate judiciary committee on Tuesday overcame a significant hurdle in the battle to create a trust fund to pay victims of asbestos exposure but the most difficult obstacles remain.,3.75
Russia warns it will respond if interests attacked in Ukraine,Russia warns it will 'respond' if interests in Ukraine attacked,5.0
Australia cuts rates to record low,Australia cuts interest rates to record low,4.599999904632568
a little girl is laughing at the camera.,A white cow with big ears looking into the camera.,0.2000000029802322
Assange appeals extradition to UK's top court,Assange to appeal extradition to UK's top court,4.0
Former company chief financial officer Franklyn M. Bergonzi pleaded guilty to one count of conspiracy on June 5 and agreed to cooperate with prosecutors.,"Last week, former chief financial officer Franklyn Bergonzi pleaded guilty to one count of conspiracy and agreed to cooperate with the government's investigation.",4.199999809265137
"""We condemn and denounce the Governing Council, which is headed by the United States,"" Moqtada al-Sadr said.","""We condemn the Governing Council headed by the United States,"" Sadr said in a fiery sermon at Koufa mosque near Najaf.",3.3329999446868896
A Victory Liner bus is white with red and gold stripes.,"A white tour bus with red, orange and yellow stripes.",3.200000047683716
Large silver locomotive engine in a shed.,A close-up of a silver train engine with a red stripe.,3.0
The fruits should be eaten with lemon juice in order to prevent oxidation in your stomach.,three dogs growling On one another,0.0
"Actually, it's much more easier to count the one NOT on the same continent.","That is also the recommended strategy for marathons, if you are going for time.",0.0
Blond woman in a tunnel.,The couple kissing is near a blond woman.,1.600000023841858
What do we get in return for doing the fighting for them?,------ ----------- What do we get in return for doing the fighting for them?,5.0
"A Merrill Lynch spokesman said ""we are pleased with the judge's decision.""","""We are very pleased with the judge's decision,"" Merrill said yesterday.",4.400000095367432
Because there are more effective ways for Her Majesty to change or veto laws.,They do not veto laws because nobody will ever adopt a law which is contrary to the expressed queen's will.,2.799999952316284
Profiles of Kenya's presidential candidates,Italian journalist picked as presidential candidate,1.0
A woman is riding on a horse.,A woman is picking tomatoes.,0.5
A man is dieing in an operating room.,A man is kissing a woman in stage.,0.4000000059604645
Kim Jong-un Executed His 'Worse Than a Dog' Uncle,NKorea executes Kim Jong Un' uncle,3.5
The USA is the world's strongest country because of its military force.,The United States is one of the five largest countries in the world by area.,2.0
Bollywood cuts costs by a third as rupee collapse bites,Bollywood cuts costs as rupee crisis bites,4.199999809265137
The white and brown dog is running quickly through the grass.,The big white dog is running in the grass.,3.400000095367432
